longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-74.7530016292406,39.7580080411196,14131,NJ3975807475319860415,Initial (SS),NULL,50140321986100,-9999,250,-9999,-9999,Prescribed Fire,UNNAMED,-9999,1986/04/15 00:00:00+00,557
-80.991002913885,25.7990046756878,17503,FL2579908099119860411,Initial (SS),NULL,50150421986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/11 00:00:00+00,3723
-80.3270027251952,25.9850047369793,17504,FL2598508032719860411,Initial (SS),NULL,50150421986100,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/11 00:00:00+00,1178
-81.462003060285,26.158004755649,17505,FL2615808146219860128,Initial (SS),NULL,50160421986000,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1222
-80.974002931215,26.6180048815042,17506,FL2661808097419860222,Initial (SS),NULL,50150421986100,-9999,265,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,503
-81.979003228323,26.809004905679,17507,FL2680908197919860128,Initial (SS),NULL,50160411986000,-9999,400,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,605
-81.7550031656335,26.8830049291889,17508,FL2688308175519860128,Initial (SS),NULL,50160411986000,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,16145
-81.8980032077129,26.9060049315069,17509,FL2690608189819860128,Initial (SS),NULL,50160411986000,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,854
-82.2750033179815,26.9500049334427,17510,FL2695008227519860128,Initial (SS),NULL,50160411986000,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,522
-81.3760030582352,26.9700049595815,17511,FL2697008137619860128,Initial (SS),NULL,50160411986000,-9999,400,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,2567
-80.6720028636185,27.3200050627788,17512,FL2732008067219860222,Initial (SS),NULL,50150411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,502
-80.703002874621,27.385005078084,17513,FL2738508070319860222,Initial (SS),NULL,50150411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,694
-81.0440029785148,27.5320051060192,17514,FL2753208104419860128,Initial (SS),NULL,50160411986000,-9999,400,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,896
-81.2700030451861,27.5610051076139,17515,FL2756108127019860128,Initial (SS),NULL,50160411986000,-9999,445,-110,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,2916
-82.1960033134345,27.5530050828725,17516,FL2755308219619860128,Initial (SS),NULL,50160411986000,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1539
-81.0840029922874,27.6010051219766,17517,FL2760108108419860128,Initial (SS),NULL,50160411986000,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,596
-81.1690030177455,27.62400512553,17518,FL2762408116919860112,Initial (SS),NULL,50160411986000,-9999,445,-110,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,3519
-82.0440032719097,27.6310051056329,17519,FL2763108204419860128,Initial (SS),NULL,50160411986000,-9999,325,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,2274
-81.3010030572987,27.6610051313405,17520,FL2766108130119860128,Initial (SS),NULL,50160411986000,-9999,445,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1844
-80.8630029298267,27.6640051428504,17521,FL2766408086319860128,Initial (SS),NULL,50160411986000,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,709
-81.2250030356879,27.6770051371301,17522,FL2767708122519860128,Initial (SS),NULL,50160411986100,-9999,440,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,2514
-81.3570030750482,27.7080051414493,17523,FL2770808135719860128,Initial (SS),NULL,50160411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,900
-81.2410030416219,27.7180051467648,17524,FL2771808124119860128,Initial (SS),NULL,50160411986100,-9999,445,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1792
